company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
BOSCO'S,2606 SPENARD RD,,ANCHORAGE,AK,995,99503,2309,3,59479903,,59470105,NOVELTIES,59429905,COMIC BOOKS,,
N J CARDS & COMICS,3020 N LAZY EIGHT CT STE 16,,WASILLA,AK,996,99654,4369,3,53119901,"DEPARTMENT STORES, DISCOUNT",59429905,COMIC BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
A NO 1 CARDS COMICS & CLLCTBLS,3101 PENLAND PKWY STE F6,,ANCHORAGE,AK,995,99508,1910,4,59429905,COMIC BOOKS,,,,,,
ANDERSON LAW GROUP,645 G ST # 100570 570,,ANCHORAGE,AK,995,99501,3443,4,81119901,"GENERAL PRACTICE ATTORNEY, LAWYER",59429905,COMIC BOOKS,73229900,,,
BOSCO'S COMICS CARDS & GAMES,800 E DIMOND BLVD STE 162,,ANCHORAGE,AK,995,99515,2054,3,59429905,COMIC BOOKS,57350200,"RECORDS, AUDIO DISCS, AND TAPES",59420000,BOOK STORES,59990000,"MISCELLANEOUS RETAIL STORES, NEC"
WIZARDS COMICS,101 LINCOLN ST,,FLORENCE,AL,356,35630,1753,3,59470104,GIFT SHOP,59429905,COMIC BOOKS,,,,
VISIONS CARDS & GAMES,107 N BURBANK DR,,MONTGOMERY,AL,361,36117,2837,3,59450000,"HOBBY, TOY, AND GAME SHOPS",59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59429905,COMIC BOOKS,,
CAPTAINS COMICS,116 CAMBRIDGE TRL,,ALABASTER,AL,350,35007,5170,3,59429905,COMIC BOOKS,59999900,,59450200,TOYS AND GAMES,,
KINGDOM COMICS INC,1425 MONTGOMERY HWY STE 119,,VESTAVIA,AL,352,35216,3685,3,59429905,COMIC BOOKS,,,,,,
QUALITY COMIX,153 W MAIN ST,,PRATTVILLE,AL,360,36067,3033,3,59429905,COMIC BOOKS,,,,,,
DRAGONS COMIC LAIR,161 W GRANT ST,,CHICKASAW,AL,366,36611,2017,3,51929905,COMIC BOOKS,,,,,,
CAPITOL CITY COMIC SHOP,177A EASTERN BLVD,,MONTGOMERY,AL,361,36117,2007,3,59429905,COMIC BOOKS,,,,,,
COMIC SHOP,1815 6TH AVE SE STE D,,DECATUR,AL,356,35601,6000,3,59429905,COMIC BOOKS,,,,,,
HAVEN COMICS ETC,1871 SLAUGHTER RD STE R,,MADISON,AL,357,35758,8631,3,59429905,COMIC BOOKS,,,,,,
MATHEW CUTHBERT,1871 SLAUGHTER RD STE S,,MADISON,AL,357,35758,8631,3,59429905,COMIC BOOKS,,,,,,
DEEP COMICS & GAMES,2312 MEMORIAL PKWY SW STE C,,HUNTSVILLE,AL,358,35801,5646,3,59429905,COMIC BOOKS,,,,,,
CONSCIOUS COMICS,2511 MOUNTAIN LODGE CIR,,VESTAVIA,AL,352,35216,7109,4,59429905,COMIC BOOKS,,,,,,
KINGDOM COMICS INC,300 BURGUNDY DR,,ADAMSVILLE,AL,350,35005,1823,3,59429905,COMIC BOOKS,,,,,,
CROSSROA COMICS & GAMES,31 PACE ST,,OXFORD,AL,362,36203,1314,3,59429905,COMIC BOOKS,,,,,,
EXCELSIOR,3150 LORNA RD,,BIRMINGHAM,AL,352,35216,5421,3,59429905,COMIC BOOKS,,,,,,
LEGION,3248 CAHABA HEIGHTS RD,,VESTAVIA,AL,352,35243,1614,3,59470000,"GIFT, NOVELTY, AND SOUVENIR SHOP",59429905,COMIC BOOKS,,,,
HOBBIES & COLLECTIBLES,406 BROAD ST # A,,GADSDEN,AL,359,35901,3718,4,59479903,,59429905,COMIC BOOKS,,,,
EMPIRE COMICS,414 GLOVER AVE STE B,,ENTERPRISE,AL,363,36330,5800,3,59429905,COMIC BOOKS,,,,,,
COMIC STRIP,503 HARGROVE RD E,,TUSCALOOSA,AL,354,35401,3750,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
DRAGON QUILLS COMIC BOOKS,506 BROAD ST,,GADSDEN,AL,359,35901,3720,3,51929905,COMIC BOOKS,,,,,,
SHONUFF COMICS,618 15TH ST,,TUSCALOOSA,AL,354,35401,4737,3,59429905,COMIC BOOKS,,,,,,
FCB GAMES & COMICS,650 CREEKSIDE DR,,OXFORD,AL,362,36203,1200,3,59429905,COMIC BOOKS,,,,,,
COLLECTOR'S CORNER,700 E GLENN AVE STE C,,AUBURN,AL,368,36830,5088,3,51929905,COMIC BOOKS,,,,,,
PHOENIX RISING GAMES & COMICS,730 MIDDLE ST,,MONTEVALLO,AL,351,35115,3701,3,59429905,COMIC BOOKS,,,,,,
COMICS & CARDS TRADING POST,7968 VAUGHN RD,,MONTGOMERY,AL,361,36116,6673,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
HIT COMICS COINS-COLLECTABLES,900 BOB WALLACE AVE SW,,HUNTSVILLE,AL,358,35801,5691,4,59429905,COMIC BOOKS,,,,,,
BOB'S COMICS,979 GADSDEN HWY,,BIRMINGHAM,AL,352,35235,3041,3,59429905,COMIC BOOKS,,,,,,
12 GAUGE COMICS,PO BOX 1413,,PELHAM,AL,351,35124,5413,3,59429905,COMIC BOOKS,,,,,,
BAT CAVE,1155 FRONT ST STE 5,,CONWAY,AR,720,72032,4373,3,59429905,COMIC BOOKS,,,,,,
ROCK BOTTOM BOOKS,1206 N GARLAND AVE,,FAYETTEVILLE,AR,727,72703,1601,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
HAWG HEAD COMICS,1600 S GREENWOOD AVE,,FORT SMITH,AR,729,72901,4212,3,59429905,COMIC BOOKS,,,,,,
SHANNON'S CARDS & COMICS,1722 FALLS BLVD N,,WYNNE,AR,723,72396,4022,3,59429905,COMIC BOOKS,,,,,,
GALAXY COMICS & GAMES,2322 E MATTHEWS AVE,,JONESBORO,AR,724,72401,4414,3,59429905,COMIC BOOKS,,,,,,
TIME MACHINE PRODUCTION,2600 ROGERS AVE,,FORT SMITH,AR,729,72901,4146,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,,,,
POW COMICS & GAMING,2801 OLD GREENWOOD RD,,FORT SMITH,AR,729,72903,4547,4,59429905,COMIC BOOKS,,,,,,
ALTERNATE WORLDS CARDS & COMIC,310 WYNN ST,,HOT SPRINGS,AR,719,71913,4821,3,59479903,,59429905,COMIC BOOKS,,,,
KAPOW COMICS,4047 E KIEHL AVE,,SHERWOOD,AR,721,72120,3514,3,59429905,COMIC BOOKS,,,,,,
STEVE BRYLES COTTON,514 W MAIN ST,,BLYTHEVILLE,AR,723,72315,3334,3,59429905,COMIC BOOKS,62210000,"COMMODITY CONTRACTS BROKERS, DEALERS",,,,
RON'S SPORTS CARDS,5912 S 31ST ST,,FORT SMITH,AR,729,72908,7559,3,59479903,,59429905,COMIC BOOKS,,,,
BULL PEN,5A GAPVIEW RD,,CONWAY,AR,720,72032,8812,3,59479903,,59429905,COMIC BOOKS,,,,
SPRINGDALE CARD & COMIC WHOLES,888 E ROBINSON AVE,,SPRINGDALE,AR,727,72764,7113,3,59479903,,51990000,"NONDURABLE GOODS, NEC",59429905,COMIC BOOKS,,
CORRELLIUM COMICS,902 KINGS DR,,BENTONVILLE,AR,727,72712,4921,3,59429905,COMIC BOOKS,,,,,,
SAMURAI COMICS INC,1051 E CAMELBACK RD,,PHOENIX,AZ,850,85014,3229,3,59429905,COMIC BOOKS,59440000,JEWELRY STORES,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
JESSE JAMES COMICS,10620 N 43RD AVE STE 1,,GLENDALE,AZ,853,85304,4150,3,59429905,COMIC BOOKS,,,,,,
SAMURAI COMICS INC,10720 W INDIAN SCHOOL RD,,PHOENIX,AZ,850,85037,5721,4,50920200,TOYS AND GAMES,59429905,COMIC BOOKS,,,,
PYRIMID COMICS & GAMES,108 W FRY BLVD,,SIERRA VISTA,AZ,856,85635,1730,3,59429905,COMIC BOOKS,59479903,,,,,
BOOKMASTER,10818 N SCOTTSDALE RD,,SCOTTSDALE,AZ,852,85254,5242,3,59429905,COMIC BOOKS,59320302,RARE BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
SAMURAI COMIC,1120 S COUNTRY CLUB DR,,MESA,AZ,852,85210,4648,4,59429905,COMIC BOOKS,,,,,,
COMICS LEGENDS & HEROES,11325 S PALOMINO LN,,GOODYEAR,AZ,853,85338,5464,3,59429905,COMIC BOOKS,59999900,,,,,
DARK GEA COMICS,12414 W PIMA ST,,AVONDALE,AZ,853,85323,3134,3,59429905,COMIC BOOKS,,,,,,
MORE THAN COMICS LLC,13403 W ROSE LN,,LITCHFIELD PK,AZ,853,85340,4080,3,59429905,COMIC BOOKS,59990000,"MISCELLANEOUS RETAIL STORES, NEC",,,,
HERO COMICS,13616 N 35TH AVE STE 2,,PHOENIX,AZ,850,85029,2174,3,59429905,COMIC BOOKS,59320300,"BOOK STORES, SECONDHAND",,,,
BLACK DOG ENTERPRISES,13825 N 32ND ST STE 34,,PHOENIX,AZ,850,85032,8617,3,59429905,COMIC BOOKS,,,,,,
KHEPRI COMICS,1739 E JAVELINA AVE,,MESA,AZ,852,85204,6876,3,59429905,COMIC BOOKS,,,,,,
SPAZDOG COMICS LLC,21610 N 35TH AVE STE 162,,GLENDALE,AZ,853,85308,2027,3,59429905,COMIC BOOKS,,,,,,
BLEATING GOAT COMICS,239 E CLAIRIDGE DR,,SAN TAN VALLEY,AZ,851,85143,3844,3,59429905,COMIC BOOKS,,,,,,
R GALAXY,2406 N CAMPBELL AVE,,TUCSON,AZ,857,85719,3355,3,59429905,COMIC BOOKS,,,,,,
PHOENIX CARD SUPPLY,2510 W THUNDERBIRD RD,,PHOENIX,AZ,850,85023,5900,4,59429905,COMIC BOOKS,59479903,,,,,
FANTASY COMICS,2595 N 1ST AVE,,TUCSON,AZ,857,85719,2910,3,59320300,"BOOK STORES, SECONDHAND",59429905,COMIC BOOKS,,,,
GREG'S COMICS,2722 S ALMA SCHOOL RD STE 8,,MESA,AZ,852,85210,4023,3,59470100,GIFTS AND NOVELTIES,59429905,COMIC BOOKS,,,,
PROSPEROUS OAK LLC,2836 E SURREY AVE,,PHOENIX,AZ,850,85032,6565,3,59429905,COMIC BOOKS,,,,,,
STUDIOS B3 LLC,2919 S MESITA,,MESA,AZ,852,85212,1714,3,59429905,COMIC BOOKS,,,,,,
MARVELL CHANDLER ARIZONA,3200 W GERMANN RD,,CHANDLER,AZ,852,85286,6753,3,51929905,COMIC BOOKS,,,,,,
T R I B E STUDIO COMICS,3333 W THUNDERBIRD RD APT 1101,,PHOENIX,AZ,850,85053,8609,3,59429905,COMIC BOOKS,,,,,,
COLLECTORS PARADISE,3929 E MAIN ST,,MESA,AZ,852,85205,8543,4,59429905,COMIC BOOKS,,,,,,
D & C COMICS,432 E BEALE ST STE A,,KINGMAN,AZ,864,86401,5804,3,59429905,COMIC BOOKS,,,,,,
RIP ROAR 'N COMICS LLC,4645 E MATT DILLON TRL,,CAVE CREEK,AZ,853,85331,5045,3,59429905,COMIC BOOKS,,,,,,
COMICBOOKCAVE,4706 W MENADOTA DR,,GLENDALE,AZ,853,85308,5116,3,51929905,COMIC BOOKS,,,,,,
ALL ABOUT BOOKS & COMICS,5060 N CENTRAL AVE,,PHOENIX,AZ,850,85012,1521,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
CHARLIE'S COMIC BOOKS,5460 E SPEEDWAY BLVD STE 103,,TUCSON,AZ,857,85712,4907,3,59429905,COMIC BOOKS,,,,,,
21ST CENTURY COMICS,575 W PECOS RD APT 2054,,CHANDLER,AZ,852,85225,7417,3,59429905,COMIC BOOKS,,,,,,
DIAMOND COMIC DISTRBTRS &/OR,5757 W GLENDALE AVE,,GLENDALE,AZ,853,85301,2578,4,59429905,COMIC BOOKS,,,,,,
DRAWN TO COMICS,5801 W GLENDALE AVE,,GLENDALE,AZ,853,85301,2528,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
GRAND CANYON COMICS,5807 N 7TH ST,,PHOENIX,AZ,850,85014,5807,3,59429905,COMIC BOOKS,,,,,,
STALKING MOON BOOKSTORE,5930 W GREENWAY RD STE 23,,GLENDALE,AZ,853,85306,3291,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
MORE THAN COMICS LLC,6803 S HARDY DR,,TEMPE,AZ,852,85283,5410,3,59429905,COMIC BOOKS,,,,,,
POP CULTURE PARADISE,715 S FOREST AVE,,TEMPE,AZ,852,85281,3722,3,59429905,COMIC BOOKS,86110000,BUSINESS ASSOCIATIONS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
CHEAPER COMICS LLC,755 W 2ND ST,,MESA,AZ,852,85201,6408,3,59429905,COMIC BOOKS,,,,,,
REDRUM COMICS,7607 E MCDOWELL RD,,SCOTTSDALE,AZ,852,85257,3603,4,59429905,COMIC BOOKS,,,,,,
MASTERPIECE COMICS,7829 W PALMAIRE AVE,,GLENDALE,AZ,853,85303,2430,3,59429905,COMIC BOOKS,,,,,,
ASH AVENUE COMICS & BOOKS,806 S ASH AVE,,TEMPE,AZ,852,85281,5624,3,59429905,COMIC BOOKS,,,,,,
FAN-QUEST,850 W 32ND ST STE 1,,YUMA,AZ,853,85364,7945,3,59429905,COMIC BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",39440000,"GAMES, TOYS, AND CHILDREN'S VEHICLES",59990000,"MISCELLANEOUS RETAIL STORES, NEC"
GOLF DIGEST,9720 N 80TH WAY,,SCOTTSDALE,AZ,852,85258,1745,3,27210202,MAGAZINES: PUBLISHING AND PRINTING,27210200,"PERIODICALS, PUBLISHING AND PRINTING",59429905,COMIC BOOKS,,
AND THEN IT RAINED COMICS,PO BOX 11041,,SCOTTSDALE,AZ,852,85271,1041,3,59429905,COMIC BOOKS,,,,,,
KEY COMICS,PO BOX 5035,,MESA,AZ,852,85211,5035,3,59429905,COMIC BOOKS,,,,,,
BRIAN'S COMICS,1 4TH ST,,PETALUMA,CA,949,94952,3003,4,59429905,COMIC BOOKS,,,,,,
FORGOTTEN KNOWLEDGE INC,10 NOVE WAY STE C,,VALLEY SPRINGS,CA,952,95252,8450,3,51929905,COMIC BOOKS,,,,,,
LEGENDS OF THE GAME,10 SPRING LN,,MORGAN HILL,CA,950,95037,6112,3,59429905,COMIC BOOKS,,,,,,
JPM COMICS,1000 E ROUTE 66 STE G,,GLENDORA,CA,917,91740,6359,3,59429905,COMIC BOOKS,,,,,,
THINGS FROM ANOTHER WORLD INC,1000 UNIVERSAL STUDIOS BL #179,,UNIVERSAL CTY,CA,916,91608,1019,3,59429905,COMIC BOOKS,59470105,NOVELTIES,,,,
TOP CD AND COMIC INC,1001 SHRADER ST,,SAN FRANCISCO,CA,941,94117,4214,3,59429905,COMIC BOOKS,,,,,,
COMICS-N-STUFF,1020 EL CAJON BLVD,,EL CAJON,CA,920,92020,5719,3,59429905,COMIC BOOKS,,,,,,
LEE'S COMICS,1020 N RENGSTORFF AVE STE F,,MOUNTAIN VIEW,CA,940,94043,1760,3,59429905,COMIC BOOKS,,,,,,
COMIX PLUS,1024 N H ST,,LOMPOC,CA,934,93436,3305,3,59429905,COMIC BOOKS,27210000,PERIODICALS,59990000,"MISCELLANEOUS RETAIL STORES, NEC",,
JON'S COMICS BOOK SHOP,1039 S VENTURA RD,,OXNARD,CA,930,93030,6530,3,59429905,COMIC BOOKS,59450000,"HOBBY, TOY, AND GAME SHOPS",59450104,"MODELS, TOY AND HOBBY",59320000,USED MERCHANDISE STORES
OSCAR ELGIO,1042 N LINCOLN ST,B,BURBANK,CA,915,91506,1535,3,59429905,COMIC BOOKS,,,,,,
KB BOOKS,1045 14TH ST,,SAN DIEGO,CA,921,92101,5751,4,59429905,COMIC BOOKS,59320302,RARE BOOKS,57360000,MUSICAL INSTRUMENT STORES,82310000,LIBRARIES
JAV COMICS,1047 PONDEROSA AVE,,SAN MARCOS,CA,920,92069,2129,3,51929905,COMIC BOOKS,59429905,COMIC BOOKS,,,,
HOUSE OF MOVIES,1047 W CARSON ST STE 4,,TORRANCE,CA,905,90502,2045,3,78419902,VIDEO DISK/TAPE RENTAL TO THE GENERAL PUBLIC,57350102,"VIDEO TAPES, PRERECORDED",59429905,COMIC BOOKS,,
ALLSTAR CARDS & COMICS,105 W ARROW HWY STE 2,,SAN DIMAS,CA,917,91773,3363,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,50910000,SPORTING AND RECREATION GOODS,59410000,SPORTING GOODS AND BICYCLE SHOPS
COMIC CARDS ETC,1063 SAN PABLO AVE STE C,,PINOLE,CA,945,94564,2473,3,59479903,,59429905,COMIC BOOKS,,,,
WCG COMICS,10736 JEFFERSON BLVD,,CULVER CITY,CA,902,90230,4933,3,59429905,COMIC BOOKS,,,,,,
COMIC NEWS,108 LOCUST ST,,SANTA CRUZ,CA,950,95060,3930,4,59429905,COMIC BOOKS,,,,,,
SPORTS CARD CO,10990 LOWER AZUSA RD STE 14,,EL MONTE,CA,917,91731,1353,3,59479903,,59429905,COMIC BOOKS,59990000,"MISCELLANEOUS RETAIL STORES, NEC",,
HEROES COMICS,110 E SHAW AVE,,FRESNO,CA,937,93710,7608,3,59429905,COMIC BOOKS,59450100,HOBBY AND CRAFT SUPPLIES,59450103,"HOBBIES, NEC",,
WE BUY COMIC BOOKS,1105 E COMMONWEALTH AVE,,FULLERTON,CA,928,92831,4635,4,59429905,COMIC BOOKS,,,,,,
COMIC BOOK HIDEOUT,1105 S LEMON ST,,FULLERTON,CA,928,92832,3004,3,59429905,COMIC BOOKS,,,,,,
HIGH QUALITY COMICS,1106 2ND ST # 110,,ENCINITAS,CA,920,92024,5008,4,59429905,COMIC BOOKS,,,,,,
COMICS N STUFF,1110 PETREE ST,,EL CAJON,CA,920,92020,2445,4,59429905,COMIC BOOKS,,,,,,
NEIL'S CARDS & COMICS,1112 N CHESTNUT AVE,,FRESNO,CA,937,93702,1709,3,59429905,COMIC BOOKS,,,,,,
RED MACHINE MULTIMEDIA,1115 BOND CT,,ANTIOCH,CA,945,94509,5111,3,59429905,COMIC BOOKS,,,,,,
RIP OFF PRESS INC,11180 EDGEWOOD RD,,AUBURN,CA,956,95603,9460,3,27210201,COMIC BOOKS: PUBLISHING AND PRINTING,59420000,BOOK STORES,59429905,COMIC BOOKS,27410000,MISCELLANEOUS PUBLISHING
BSI COMICS,1120 FULTON AVE STE K,,SACRAMENTO,CA,958,95825,4209,3,59429905,COMIC BOOKS,,,,,,
UNDERCITY COMICS,11219 1ST AVE,,WHITTIER,CA,906,90603,3111,3,59429905,COMIC BOOKS,,,,,,
GOBIAS COMICS,11229 BERTRAND AVE,,GRANADA HILLS,CA,913,91344,4008,3,59429905,COMIC BOOKS,59420000,BOOK STORES,,,,
D J'S UNIVERSAL COMICS,11390 VENTURA BLVD STE 9,,STUDIO CITY,CA,916,91604,3153,3,59429905,COMIC BOOKS,,,,,,
TWISTED COMICS & COLLECTIBLES,114 GREENBRIAR LN,,LA PUENTE,CA,917,91744,4725,3,59429905,COMIC BOOKS,,,,,,
COMICS CONSPIRACY,115 E FREMONT AVE # A,,SUNNYVALE,CA,940,94087,2501,3,59429905,COMIC BOOKS,,,,,,
ORBIT COMICS & CARDS,115 S SAN GABRIEL BLVD,,SAN GABRIEL,CA,917,91776,1646,3,59429905,COMIC BOOKS,,,,,,
COASTSIDE COMICS,116 MANOR DR STE D,,PACIFICA,CA,940,94044,1958,3,59429905,COMIC BOOKS,59990304,POSTERS,,,,
FAT FREE COMICS INC,1170 E PADUA WAY,,PALM SPRINGS,CA,922,92262,2312,3,59429905,COMIC BOOKS,,,,,,
JNJ COMICS INC,11765 EDINGER AVE,,FOUNTAIN VALLEY,CA,927,92708,1208,3,59429905,COMIC BOOKS,,,,,,
BAMBOO MOUNTAIN HOLDINGS INC,11824 VENTURA BLVD,,STUDIO CITY,CA,916,91604,2617,3,59429905,COMIC BOOKS,,,,,,
COMIC SMASH,11824 VENTURA BLVD,,STUDIO CITY,CA,916,91604,2617,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,79999910,RECREATION CENTER,59320300,"BOOK STORES, SECONDHAND"
FREEDMANS COMICSMASH LLC,11824 VENTURA BLVD,,STUDIO CITY,CA,916,91604,2617,3,59429905,COMIC BOOKS,,,,,,
PRISM COMICS,12111 MARLOWE DR,,GARDEN GROVE,CA,928,92841,3434,3,59429905,COMIC BOOKS,,,,,,
MIDNIGHT MUSIC,1215 OLIVE DR,,BAKERSFIELD,CA,933,93308,4173,4,57350200,"RECORDS, AUDIO DISCS, AND TAPES",59939903,PIPE STORE,59429905,COMIC BOOKS,,
LEGACY COMICS & CARDS,123 W WILSON AVE,,GLENDALE,CA,912,91203,2605,3,59429905,COMIC BOOKS,59479903,,,,,
COMIC CULT,12329 IMPERIAL HWY,,NORWALK,CA,906,90650,8304,3,59429905,COMIC BOOKS,,,,,,
COMIC MADNESS,12345 MOUNTAIN AVE STE J,,CHINO,CA,917,91710,2783,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
6TH CIRCLE COMIC,125 BUCKINGHAM WAY,,SAN FRANCISCO,CA,941,94132,1878,4,59429905,COMIC BOOKS,,,,,,
GREAT ESCAPE GAMES,1250 HOWE AVE STE 3A,,SACRAMENTO,CA,958,95825,3480,3,57310202,"VIDEO RECORDERS, PLAYERS, DISC PLAYERS, AND ACCESSORIES",59429905,COMIC BOOKS,,,,
CURRENT COMICS,1287 N MAIN ST STE D,,SALINAS,CA,939,93906,2859,3,59429905,COMIC BOOKS,,,,,,
ATOMIC LOUNGE,129 NEAL ST,,GRASS VALLEY,CA,959,95945,6705,3,58130100,BARS AND LOUNGES,59429905,COMIC BOOKS,,,,
COMICS FACTORY,1298 E COLORADO BLVD,,PASADENA,CA,911,91106,1901,3,59429905,COMIC BOOKS,57350100,"VIDEO DISCS AND TAPES, PRERECORDED",,,,
COMICS PLUS,1305 CENTER AVE STE B,,LOS BANOS,CA,936,93635,4658,3,59429905,COMIC BOOKS,,,,,,
COMIC VENDOR,1330 E 223RD ST STE 508,,CARSON,CA,907,90745,4340,3,59429905,COMIC BOOKS,,,,,,
COFFEE TABLE COMICS,13319 STRATHERN ST,,NORTH HOLLYWOOD,CA,916,91605,1726,3,59429905,COMIC BOOKS,,,,,,
COMIC CELLAR,135 W MAIN ST,,ALHAMBRA,CA,918,91801,3512,3,59429905,COMIC BOOKS,,,,,,
COMICS TOONS N TOYS,13542 NEWPORT AVE,,TUSTIN,CA,927,92780,3729,3,59429905,COMIC BOOKS,,,,,,
V ANIME,1375 BLOSSOM HILL RD STE 25,,SAN JOSE,CA,951,95118,3806,3,59429905,COMIC BOOKS,57350000,RECORD AND PRERECORDED TAPE STORES,78419902,VIDEO DISK/TAPE RENTAL TO THE GENERAL PUBLIC,,
UNDERGROUND COMICS,13923 WALLABI AVE,,SYLMAR,CA,913,91342,1934,3,59429905,COMIC BOOKS,,,,,,
COMIC HERO UNIVERSITY,140 E SANTA FE AVE,,FULLERTON,CA,928,92832,1916,3,59429905,COMIC BOOKS,,,,,,
WONDERLAND COMICS,1409 N VAN NESS AVE,,FRESNO,CA,937,93728,1938,3,59429905,COMIC BOOKS,59610000,CATALOG AND MAIL-ORDER HOUSES,59940000,NEWS DEALERS AND NEWSSTANDS,,
G 33 KZ,1430 MYERS ST,,OROVILLE,CA,959,95965,4964,4,51929905,COMIC BOOKS,,,,,,
HI DE HO COMICS & BOOKS,1431 LINCOLN BLVD,,SANTA MONICA,CA,904,90401,2732,3,59320300,"BOOK STORES, SECONDHAND",59429905,COMIC BOOKS,,,,
COMICS FOR THE WIN,1435 SANTA ROSA AVE STE C5,,SANTA ROSA,CA,954,95404,5400,3,59429905,COMIC BOOKS,,,,,,
TIFFANYS COMICS,1443 TIBURON CT,,TRACY,CA,953,95377,8605,3,59429905,COMIC BOOKS,,,,,,
CHUNKY GIRL COMICS,1445 SAN ROCCO CIR,,STOCKTON,CA,952,95207,5413,1,59429905,COMIC BOOKS,,,,,,
GENESIS WEST COMICS,1463 NORWICH AVE,,THOUSAND OAKS,CA,913,91360,3531,3,73360000,COMMERCIAL ART AND GRAPHIC DESIGN,59429905,COMIC BOOKS,,,,
XMR,1471 EL CAMINO REAL,,BELMONT,CA,940,94002,3909,3,59429905,COMIC BOOKS,,,,,,
FRESHLY BAKED COMICS AND CARDS,15 SAN LEANDRO WAY,,SAN FRANCISCO,CA,941,94127,1505,3,59429905,COMIC BOOKS,,,,,,
EARTH 2 COMICS,15017 VENTURA BLVD,,SHERMAN OAKS,CA,914,91403,2442,3,59429905,COMIC BOOKS,,,,,,
P DOT'S COMICS & COLLECTIBLES,1505 N LAKE AVE,,PASADENA,CA,911,91104,2305,3,59429905,COMIC BOOKS,,,,,,
BROADWAY COMICS & CARDS,1508 BROADWAY,,SACRAMENTO,CA,958,95818,2302,3,59429905,COMIC BOOKS,,,,,,
DIAMOND COMIC DISTRIBUTORS RES,1515 WEBSTER ST,,ALAMEDA,CA,945,94501,3321,3,59429905,COMIC BOOKS,,,,,,
NEW AGE COMICS & TOYS,1520 N MOUNTAIN AVE STE 114,,ONTARIO,CA,917,91762,1130,3,59429905,COMIC BOOKS,,,,,,
DREAM WORLD,1555 SIMI TOWN CENTER WAY,,SIMI VALLEY,CA,930,93065,518,4,59429905,COMIC BOOKS,,,,,,
CENTURY COMIC CTR,1559 WEST ST,,HAYWARD,CA,945,94545,2019,3,59429905,COMIC BOOKS,,,,,,
COMICS BLUE MOON,1560 4TH ST STE A,,SAN RAFAEL,CA,949,94901,2861,3,59429905,COMIC BOOKS,27210000,PERIODICALS,59999900,,,
KISS MY COMICS,1562 CABLE ST,,SAN DIEGO,CA,921,92107,3419,3,59429905,COMIC BOOKS,,,,,,
NOT YOUR AVERAGE COMIC,15682 BERNARDO CENTER DR,,SAN DIEGO,CA,921,92127,1850,4,59429905,COMIC BOOKS,,,,,,
OUTLAW COMICS & COLLECTIBLES,15835 LONECREST DR,,HACIENDA HEIGHTS,CA,917,91745,6435,3,59429905,COMIC BOOKS,,,,,,
ANOTHER WORLD COMICS & BOOKS,1615 COLORADO BLVD,,LOS ANGELES,CA,900,90041,1402,3,59450200,TOYS AND GAMES,59429905,COMIC BOOKS,27210000,PERIODICALS,51920000,"BOOKS, PERIODICALS, AND NEWSPAPERS"
ON COMIC GROUND,1629 UNIVERSITY AVE,,SAN DIEGO,CA,921,92103,3414,3,59429905,COMIC BOOKS,,,,,,
GUARDIAN COMICS,1631 N GENESEE AVE,,LOS ANGELES,CA,900,90046,2720,3,59429905,COMIC BOOKS,,,,,,
DVD MONSTER,16342 LORENE DR,,VICTORVILLE,CA,923,92395,4147,3,59429905,COMIC BOOKS,,,,,,
PICTURES IN SEQUENCE LLC,16344 BEACH BLVD,,WESTMINSTER,CA,926,92683,7857,3,59429905,COMIC BOOKS,,,,,,
POWER MOVE ENTERPRISE INC,16800 HARVEST AVE,,CERRITOS,CA,907,90703,1618,3,59429905,COMIC BOOKS,56990406,"T-SHIRTS, CUSTOM PRINTED",,,,
COMIC KID,16935 VANOWEN ST,,VAN NUYS,CA,914,91406,4595,4,59429905,COMIC BOOKS,,,,,,
HOUSE OF COMICS,1700 SHATTUCK AVE,23,BERKELEY,CA,947,94709,3402,4,59429905,COMIC BOOKS,,,,,,
TABLE TOPICS,1701 N CALIFORNIA BLVD,,WALNUT CREEK,CA,945,94596,4112,3,59429905,COMIC BOOKS,,,,,,
